Wafer ID,FAMILY_CODE,8_24C_Yield,22_24C_Yield,DI51_C5_M7125P125A_ST_A102_4M_Perfect,SailSM_K2_AllChains_1p25vFM_Perfect,SailSM_K2_AllChains_0p5vFM_LY,fin_res,fin_res_metric2,WETSTRIPSWPCP.1 Process Tool,PC DC10,WETSWSTRIPCTP.1 Process Tool,CT DC10,DC10
6A06F182SOF3,9S,0,0,94.4400024,94.8700027,64.8600006,N,0,DC10,1,DC09,0,1
6A06F191SOF5,US,0.13,0.05,97.2200012,84.6100006,96.9599991,N,0,DC11,0,DC09,0,0
6A06A328SOA2,US,0.13,0.05,97.2200012,94.8700027,100,N,0,DC09,0,DC10,1,1
6A069143SOB4,US,0.13,0.05,77.7699966,87.1699982,97.0500031,M,12.4444444,DC11,0,DC11,0,0
65600A6BSEB6,US,0.13,0.05,88.8799973,97.4300003,100,N,0,DC11,0,DC09,0,0
6560086ASEF3,US,0.13,0.06,75,,,Y,17.5,DC09,0,DC09,0,0
6A060020SOG6,US,0.13,0.06,91.6600037,,,N,0,DC09,0,DC09,0,0
6A05T311SOH0,9S,0.13,0.06,94.4400024,,,N,0,DC09,0,DC11,0,0
65600907SEB3,US,0.13,0.06,86.1100006,94.8700027,100,N,0,DC10,1,DC09,0,1
6A03P285SOE5,9S,0.14,0,83.3300018,92.3000031,97.2200012,M,5,DC09,0,DC10,1,1
6A051296SOA3,US,0.14,0,91.6600037,97.4300003,97.3600006,N,0,DC09,0,DC11,0,0
6A05Z177SOE4,US,0.14,0.02,75,84.6100006,93.9300003,N,0,DC11,0,DC09,0,0
6A06F374SOA2,US,0.14,0.02,72.2200012,,,M,3,DC09,0,DC11,0,0
6A060018SOG6,US,0.14,0.02,97.2200012,76.9199982,100,N,0,DC09,0,DC11,0,0
65600A4ZSEG2,US,0.14,0.02,100,89.7399979,100,N,0,DC09,0,DC10,1,1
656008BHSEA5,US,0.14,0.02,91.6600037,,,N,0,DC09,0,DC09,0,0
6A06E069SOE4,US,0.14,0.02,86.1100006,82.0500031,100,N,0,DC11,0,DC10,1,1
6A067030SOG4,9S,0.14,0.02,83.3300018,87.1699982,100,M,2.66666667,DC09,0,DC09,0,0
6A064169SOE5,US,0.14,0.02,94.4400024,87.1699982,100,N,0,DC09,0,DC10,1,1
6A05Y183SOG3,US,0.14,0.02,91.6600037,97.4300003,97.3600006,N,0,DC11,0,DC09,0,0
6A05R023SOH1,US,0.14,0.02,100,,,N,0,DC09,0,DC09,0,0
6A05M056SOC0,US,0.14,0.02,86.1100006,94.8700027,100,N,0,DC10,1,DC11,0,1
6A05Y281SOE3,US,0.14,0.03,80.5500031,97.4300003,100,N,0,DC09,0,DC09,0,0
6A05Z256SOF1,US,0.14,0.03,94.4400024,,,N,0,DC09,0,DC09,0,0
6A064165SOC3,US,0.14,0.03,94.4400024,84.6100006,96.9599991,N,0,DC09,0,DC10,1,1
6A05Y119SOA3,9S,0.14,0.03,94.4400024,92.3000031,100,N,0,DC09,0,DC11,0,0
6A061158SOC1,US,0.14,0.03,100,,,N,0,DC10,1,DC11,0,1
6A05Y150SOC2,US,0.14,0.05,97.2200012,94.8700027,100,N,0,DC09,0,DC10,1,1
6A063309SOF0,US,0.14,0.05,91.6600037,,,N,0,DC11,0,DC10,1,1
6A05R220SOA0,9S,0.14,0.05,91.6600037,87.1699982,100,M,3,DC11,0,DC11,0,0
6A06E029SOB2,US,0.14,0.05,94.4400024,94.8700027,100,N,0,DC11,0,DC09,0,0
6560092XSED1,US,0.14,0.05,91.6600037,94.8700027,100,N,0,DC10,1,DC09,0,1
6A06A332SOB3,US,0.14,0.06,80.5500031,,,N,0,DC09,0,DC11,0,0
6A060085SOD3,US,0.14,0.06,91.6600037,,,N,0,DC09,0,DC11,0,0
6A06A231SOF3,US,0.14,0.06,75,,,M,8.8,DC11,0,DC11,0,0
6A062194SOD4,US,0.14,0.06,91.6600037,,,N,0,DC10,1,DC11,0,1
6A05S014SOH2,US,0.14,0.08,97.2200012,,,N,0,DC09,0,DC10,1,1
6560085PSEF5,US,0.16,0,72.2200012,79.4800034,93.5400009,Y,18,DC09,0,DC09,0,0
6A067042SOE6,9S,0.16,0,77.7699966,87.1699982,100,N,0,DC09,0,DC10,1,1
6A063088SOC4,US,0.16,0,83.3300018,87.1699982,100,M,4,DC11,0,DC10,1,1
6A05S025SOB2,US,0.16,0,91.6600037,94.8700027,100,N,0,DC10,1,DC09,0,1
6A064013SOB6,9S,0.16,0,94.4400024,,,N,0,DC11,0,DC11,0,0
6A05W142SOF4,9S,0.16,0,91.6600037,92.3000031,97.2200012,N,0,DC10,1,DC09,0,1
6A06C017SOC2,9S,0.16,0.02,91.6600037,84.6100006,100,N,0,DC10,1,DC11,0,1
6A05Y060SOA2,US,0.16,0.02,88.8799973,76.9199982,96.6600037,N,0,DC09,0,DC11,0,0
6A05U260SOE3,US,0.16,0.02,83.3300018,100,94.8700027,M,11,DC09,0,DC10,1,1
65506V8YSEC0,US,0.16,0.02,75,,,M,4.8,DC09,0,DC10,1,1
6A067034SOB3,9S,0.16,0.02,83.3300018,92.3000031,100,N,0,DC09,0,DC10,1,1
6A06F138SOB0,9S,0.16,0.02,77.7699966,,,N,0,DC09,0,DC10,1,1
6A064175SOG7,US,0.16,0.02,86.1100006,92.3000031,100,N,0,DC09,0,DC10,1,1
6A06F095SOB3,US,0.16,0.02,80.5500031,,,M,5,DC09,0,DC10,1,1
6A064260SOC3,US,0.16,0.02,77.7699966,87.1699982,100,M,2,DC11,0,DC10,1,1
6A06A268SOE3,US,0.16,0.02,80.5500031,89.7399979,100,M,2,DC09,0,DC11,0,0
6560085ZSED7,US,0.16,0.03,66.6600037,79.4800034,96.7699966,Y,18.8571429,DC11,0,DC09,0,0
6A064119SOE2,US,0.16,0.03,83.3300018,,,Y,14,DC11,0,DC10,1,1
6A05D311SOB0,US,0.16,0.03,91.6600037,94.8700027,100,N,0,DC10,1,DC10,1,1
6A05T383SOC6,US,0.16,0.03,83.3300018,,,M,9.6,DC11,0,DC10,1,1
6560065JSEE0,US,0.16,0.03,91.6600037,92.3000031,100,N,0,DC11,0,DC11,0,0
