parameter,lot_id,date,Owner
PL032S_FET_PD_Idoff_M1,A29TY,4/8/22,SRAM
PL032S_FET_PG_Idoff_M1,A29TY,4/8/22,SRAM
,,,
TPLL053_FET_RPD_Vtsat_M1,A29TY,4/8/22,SRAM
TPLL053_FET_RPD_Vtlin_M1,A2AFT,4/8/22,SRAM
TPLL053_FET_RPD_Idoff_M1,A29TY,4/8/22,SRAM
,,,
egncap_0.15_Cgd@Vgd=0.2V_1M_M1,A2AFR,4/8/22,Device
,,,
ncap_0.15_Cgd@Vgd=0.3V_1M_M1,A29TW,4/8/22,Device
ncap_0.15_Cgd@Vgd=0.5V_1M_M1,A29TW,4/8/22,Device
,,,
PR9T4FMDBREF~Vtsat_100n_M1,A2AFT,4/8/22,Device
PR9T4FMDBREF~Vtlin_100n_M1,A2AFT,4/8/22,Device
PR9T4FMDBREF~Vta_2_M1,A2AFT,4/8/22,Device
PL9T4FMDBREF~Rext3_M1,A29TY,4/8/22,Device
,,,
NUL9T4FMDBREF~Rodlin4_100n_M1,A2AFT,4/8/22,Device
NUL9T4FMDBREF~Rext3_M1,A2AFT,4/8/22,Device
NSL9T4FMDBREF~Rodlin4_100n_M1,A29TY,4/8/22,Device
NSL9T4FMDBREF~Rext3_M1,A29TY,4/8/22,Device
NR9T4FMDBREF~Vtsat_100n_M1,A2AFT,4/8/22,Device
NR9T4FMDBREF~Vtlin_100n_M1,A29TY,4/8/22,Device
NR9T4FMDBREF~Vta_2_M1,A2AFT,4/8/22,Device
NR9T4FMDBREF~Rodlin4_100n_M1,A29TY,4/8/22,Device
NR9T4FMDBREF~Rext3_M1,A29TY,4/8/22,Device
,,,
NL9T4FMDBREF~Rodlin4_100n_M1,A2AFT,4/8/22,Device
,,,
NL9T4FMDBREF~Rext3_M1,A29TY,4/8/22,Device
,,,
egncap_0.15_Cgd@Vgd=0.1V_1M_M1,A29TW,4/8/22,Device
,,,
egncap_0.15_Cgd@Vgd=0.25V_1M_M1,A2AFR,4/8/22,Device
egncap_0.15_Cgd@Vgd=0.3V_1M_M1,A2AFR,4/8/22,Device
egncap_0.15_Cgd@Vgd=0.4V_1M_M1,A2AFR,4/8/22,Device
,,,
ncap_0.15_Cgd@Vgd=0.25V_1M_M1,A29TW,4/8/22,Device
ncap_0.15_Cgd@Vgd=0.2V_1M_M1,A29TW,4/8/22,Device
ncap_0.15_Cgd@Vgd=0.4V_1M_M1,A29TW,4/8/22,Device
,,,
P032_1b_PD_Vtsat_avg_M1,A29TY,4/8/22,SRAM
P032_1b_PG_Vtsat_avg_M1,A29TY,4/8/22,SRAM
PL032S_1b_PD_Vtsat_avg_M1,A29TY,4/8/22,SRAM
,,,
PL032S_1b_PG_Vtsat_avg_M1,A2AFT,4/8/22,SRAM
,,,
PL032S_4FET_PD_Isoff_M1,A29TY,4/8/22,SRAM
PL032S_4FET_PG_Isoff_M1,A29TY,4/8/22,SRAM
,,,
TPLL053_1b_RPD_Isoff_M1,A29TY,4/8/22,SRAM
TPLL053_1b_RPD_Idoff_M1,A29TY,4/8/22,SRAM
TPLL053_1b_RPD_Vtlin_M1,A2AFT,4/8/22,SRAM
TPLL053_1b_RPD_Vtsat_M1,A2AFT,4/8/22,SRAM
TPLL053_1b_RPG_Vtlin_M1,A2AFT,4/8/22,SRAM
TPLL053_1b_RPG_Vtsat_M1,A2AFT,4/8/22,SRAM
TPLL053_4FET_RPD_Isoff_M1,A29TY,4/8/22,SRAM
,,,
M032_40FIN_A_PD_Idsat_M1,A2AFT,4/8/22,SRAM
M032_40FIN_D_PD_Idsat_M1,A2AFT,4/8/22,SRAM
M032_40FIN_D_PD_Vtsat_M1,A2AFT,4/8/22,SRAM
,,,
PL032S_40FIN_B_PD_Vtsat_M1,A29TY,4/8/22,SRAM
,,,
PL032S_40FIN_C_PD_Vtsat_M1,A2AFT,4/8/22,SRAM
,,,
PL032S_40FIN_D_PD_Vtsat_M1,A29TY,4/8/22,SRAM
PL032S_40FIN_E_PD_Vtsat_M1,A29TY,4/8/22,SRAM
,,,
P032_FET_PU_Idoff_M1,A290W,3/21/22,SRAM
P032_WRM_M1,A290W,3/21/22,SRAM
PL032S_WRM_M1,A290W,3/21/22,SRAM
P032_4FET_PU_Isoff_M1,A290W,3/21/22,SRAM
,,,
DLW_P_EG_200_280_DDB_4_Idlin_M1,A29PP,3/19/22,Device
,,,
P032_FET_PU_Vtlin_M1,A290V,3/18/22,SRAM
,,,
PUL9T4FMDBREF~Rodlin4_100n_M1,A290V,3/18/22,Device
PUL9T4FMDBREF~Rext3_M1,A290V,3/18/22,Device
PR9T4FMDBREF~Rext3_M1,A290V,3/18/22,Device
PL9T4FMDBREF~Rodlin4_100n_M1,A290V,3/18/22,Device
,,,
M032_40FIN_D_PU_Vtsat_M1,A290V,3/18/22,SRAM
,,,
DLW_N_EGV_100_180_DDB_4_Ioffd@1.5V_M1,A29WA,3/17/22,Device
,,,
P032_bit_PU_L_Vtsat_M1,A290X,3/3/22,SRAM
P032_bit_PU_R_Vtsat_M1,A290X,3/3/22,SRAM
P032_bit_PU_L_Vtlin_M1,A290X,3/3/22,SRAM
P032_bit_PU_R_Vtlin_M1,A290X,3/3/22,SRAM
P032_bit_PU_L_Idsat_M1,A290X,3/3/22,SRAM
P032_bit_PU_R_Idsat_M1,A290X,3/3/22,SRAM
P032_bit_PU_L_Idlin_M1,A290X,3/3/22,SRAM
P032_bit_PU_R_Idlin_M1,A290X,3/3/22,SRAM
P032_FET_PU_Vtsat_M1,A290X,3/3/22,SRAM
PL032S_bit_PU_L_Vtsat_M1,A290X,3/3/22,SRAM
PL032S_bit_PU_L_Vtlin_M1,A290X,3/3/22,SRAM
PL032S_bit_PU_R_Vtlin_M1,A290X,3/3/22,SRAM
PL032S_bit_PU_R_Idsat_M1,A290X,3/3/22,SRAM
